SAMPID,Sample,Tissue
GTEX-1R46S-0726-SM-E9J42,sample8693,Blood Vessel
GTEX-1R46S-1026-SM-E8VN3,sample8694,Blood Vessel
GTEX-1R46S-2026-SM-DTX9E,sample8695,Esophagus
GTEX-1R46S-2426-SM-E76QA,sample8696,Skin
GTEX-1R46S-3126-SM-DPRZ9,sample8697,Brain
GTEX-1R7EU-0006-SM-DO93C,sample8698,Blood
GTEX-1R7EU-0226-SM-EVR4G,sample8699,Skin
GTEX-1R7EU-0326-SM-EWRNJ,sample8700,Adipose Tissue
GTEX-1R7EU-0426-SM-EVR4H,sample8701,Blood Vessel
GTEX-1R7EU-0626-SM-DTX9N,sample8702,Muscle
GTEX-1R7EU-0826-SM-DPRZL,sample8703,Esophagus
GTEX-1R7EU-0926-SM-E6CQ5,sample8704,Esophagus
GTEX-1R7EU-1026-SM-EVR4I,sample8705,Esophagus
GTEX-1R7EU-1626-SM-DTXG3,sample8706,Skin
GTEX-1R7EU-1826-SM-DTX9L,sample8707,Colon
GTEX-1R7EU-1926-SM-E9U62,sample8708,Colon
GTEX-1R7EV-0005-SM-DO938,sample8709,Blood
GTEX-1R7EV-0326-SM-E76PA,sample8710,Heart
GTEX-1R7EV-0426-SM-DTX7Z,sample8711,Heart
GTEX-1R7EV-1026-SM-DTX81,sample8712,Adipose Tissue
GTEX-1R7EV-1926-SM-EVYBF,sample8713,Adipose Tissue
GTEX-1R7EV-2026-SM-DTX83,sample8714,Muscle
GTEX-1R7EV-2226-SM-E8VOE,sample8715,Blood Vessel
GTEX-1R7EV-2426-SM-EVYBG,sample8716,Skin
GTEX-1R9JW-0002-SM-DO93B,sample8717,Blood
GTEX-1R9JW-0226-SM-EVR4K,sample8718,Thyroid
GTEX-1R9JW-0426-SM-E76QL,sample8719,Heart
GTEX-1R9JW-0526-SM-EWRNK,sample8720,Heart
GTEX-1R9JW-0726-SM-DTXFH,sample8721,Blood Vessel
GTEX-1R9JW-1526-SM-DPRZK,sample8722,Esophagus
GTEX-1R9JW-1626-SM-E76QK,sample8723,Esophagus
GTEX-1R9JW-2026-SM-EAZ4O,sample8724,Colon
GTEX-1R9JW-2126-SM-E76QT,sample8725,Colon
GTEX-1R9JW-2326-SM-E9J3U,sample8726,Blood Vessel
GTEX-1R9JW-2426-SM-DTXFI,sample8727,Muscle
GTEX-1R9K4-0006-SM-CYPRM,sample8728,Blood
GTEX-1R9K4-0011-R11a-SM-EZ6N9,sample8729,Brain
GTEX-1R9K4-0011-R5b-SM-EZ6N8,sample8730,Brain
GTEX-1R9K4-0126-SM-DTX9X,sample8731,Skin
GTEX-1R9K4-0626-SM-E76OZ,sample8732,Muscle
GTEX-1R9K4-0726-SM-EWRN2,sample8733,Thyroid
GTEX-1R9K4-1026-SM-EXUT1,sample8734,Heart
GTEX-1R9K4-1126-SM-E9J4G,sample8735,Blood Vessel
GTEX-1R9K4-1326-SM-DTX8G,sample8736,Heart
GTEX-1R9K4-1426-SM-DPRY4,sample8737,Adipose Tissue
GTEX-1R9K4-1826-SM-EVYBP,sample8738,Esophagus
GTEX-1R9K4-1926-SM-DPRZW,sample8739,Esophagus
GTEX-1R9K4-2826-SM-DTX8F,sample8740,Skin
GTEX-1R9K4-3126-SM-DTX9Y,sample8741,Brain
GTEX-1R9K5-0006-SM-DO939,sample8742,Blood
GTEX-1R9K5-0226-SM-EWRNF,sample8743,Adipose Tissue
GTEX-1R9K5-0326-SM-EWRNG,sample8744,Muscle
GTEX-1R9K5-0526-SM-DTXF9,sample8745,Blood Vessel
GTEX-1R9K5-0726-SM-EAZ4E,sample8746,Thyroid
GTEX-1R9K5-1326-SM-E6CPR,sample8747,Heart
GTEX-1R9K5-1426-SM-DTX9F,sample8748,Blood Vessel
GTEX-1R9K5-1526-SM-DPRZA,sample8749,Esophagus
GTEX-1R9K5-1626-SM-E76QB,sample8750,Esophagus
GTEX-1R9K5-1726-SM-EVR49,sample8751,Esophagus
GTEX-1R9K5-2126-SM-E8VN1,sample8752,Colon
GTEX-1R9K5-2226-SM-DTX9G,sample8753,Colon
GTEX-1R9PM-0006-SM-CYPTI,sample8754,Blood
GTEX-1R9PM-0226-SM-DPRY7,sample8755,Thyroid
GTEX-1R9PM-0326-SM-EVYBI,sample8756,Blood Vessel
GTEX-1R9PM-0926-SM-DPRYA,sample8757,Esophagus
GTEX-1R9PM-1026-SM-EVR3N,sample8758,Esophagus
GTEX-1R9PM-1126-SM-E76OX,sample8759,Esophagus
GTEX-1R9PM-1526-SM-DPRY8,sample8760,Colon
GTEX-1R9PM-1926-SM-EVR3O,sample8761,Skin
GTEX-1R9PM-2026-SM-E76OY,sample8762,Skin
GTEX-1R9PM-2126-SM-E8VOB,sample8763,Adipose Tissue
GTEX-1R9PM-2226-SM-E8VOC,sample8764,Muscle
GTEX-1R9PN-0006-SM-DTX7L,sample8765,Blood
GTEX-1R9PN-0226-SM-DTX84,sample8766,Blood Vessel
GTEX-1R9PN-0426-SM-DTXDT,sample8767,Skin
GTEX-1R9PN-1026-SM-DTX87,sample8768,Esophagus
GTEX-1R9PN-1826-SM-E8VO4,sample8769,Muscle
GTEX-1R9PO-0006-SM-DO937,sample8770,Blood
GTEX-1R9PO-0011-R11b-SM-EZ6NB,sample8771,Brain
GTEX-1R9PO-0011-R5a-SM-EZ6NA,sample8772,Brain
GTEX-1R9PO-0226-SM-E6CHS,sample8773,Blood Vessel
GTEX-1R9PO-0326-SM-DTXA1,sample8774,Heart
GTEX-1R9PO-0926-SM-E9U4Q,sample8775,Adipose Tissue
GTEX-1R9PO-1226-SM-E6CHR,sample8776,Esophagus
GTEX-1R9PO-2026-SM-E9J4N,sample8777,Colon
GTEX-1R9PO-2126-SM-E9J4O,sample8778,Skin
GTEX-1R9PO-2426-SM-EVYBS,sample8779,Muscle
GTEX-1R9PO-2526-SM-EVYBT,sample8780,Blood Vessel
GTEX-1R9PO-2826-SM-E6CPV,sample8781,Brain
GTEX-1R9PO-2926-SM-EVYBR,sample8782,Brain
GTEX-1RAZA-0006-SM-CKZO9,sample8783,Blood
GTEX-1RAZA-0126-SM-E6CI3,sample8784,Skin
GTEX-1RAZA-0226-SM-E9U4W,sample8785,Adipose Tissue
GTEX-1RAZA-0326-SM-E6CI4,sample8786,Blood Vessel
GTEX-1RAZA-0526-SM-E76R2,sample8787,Muscle
GTEX-1RAZA-0826-SM-EAZ4I,sample8788,Thyroid
GTEX-1RAZA-0926-SM-E6CQ8,sample8789,Adipose Tissue
GTEX-1RAZA-1126-SM-E8VMV,sample8790,Blood Vessel
GTEX-1RAZA-1226-SM-E6CQA,sample8791,Esophagus
GTEX-1RAZA-1326-SM-DPS12,sample8792,Esophagus
GTEX-1RAZA-1426-SM-EV79H,sample8793,Esophagus
GTEX-1RAZA-1726-SM-DPS13,sample8794,Colon
GTEX-1RAZA-2226-SM-E9U4X,sample8795,Skin
GTEX-1RAZQ-0005-SM-DO93U,sample8796,Blood
GTEX-1RAZQ-0426-SM-DTXFQ,sample8797,Muscle
GTEX-1RAZQ-0526-SM-E8VOQ,sample8798,Blood Vessel
GTEX-1RAZQ-0626-SM-E8VOR,sample8799,Adipose Tissue
GTEX-1RAZQ-0726-SM-EAZ43,sample8800,Skin
GTEX-1RAZQ-0926-SM-EAZ4Q,sample8801,Thyroid
GTEX-1RAZQ-1326-SM-E9TK6,sample8802,Skin
GTEX-1RAZQ-1526-SM-E6CJI,sample8803,Adipose Tissue
GTEX-1RAZQ-1626-SM-E9U6C,sample8804,Esophagus
GTEX-1RAZQ-1726-SM-EAZ4T,sample8805,Esophagus
GTEX-1RAZQ-1826-SM-E76P9,sample8806,Esophagus
GTEX-1RAZQ-2026-SM-E76P7,sample8807,Colon
GTEX-1RAZQ-2126-SM-DTX9V,sample8808,Colon
GTEX-1RAZR-0006-SM-DLHBR,sample8809,Blood
GTEX-1RAZR-0226-SM-EVYC6,sample8810,Adipose Tissue
GTEX-1RAZR-0326-SM-EWRNM,sample8811,Muscle
GTEX-1RAZR-0626-SM-E6CJO,sample8812,Blood Vessel
GTEX-1RAZR-1026-SM-E8VOJ,sample8813,Adipose Tissue
GTEX-1RAZR-1126-SM-E6CRC,sample8814,Thyroid
GTEX-1RAZR-1226-SM-E6CRD,sample8815,Esophagus
GTEX-1RAZR-1426-SM-EVR4M,sample8816,Esophagus
GTEX-1RAZR-1926-SM-E6CRF,sample8817,Colon
GTEX-1RAZR-2026-SM-E9TKE,sample8818,Colon
GTEX-1RAZR-2126-SM-E9U6T,sample8819,Skin
GTEX-1RAZS-0005-SM-DO93D,sample8820,Blood
GTEX-1RAZS-0526-SM-E9J4D,sample8821,Blood Vessel
GTEX-1RAZS-0826-SM-E76QP,sample8822,Heart
GTEX-1RAZS-1026-SM-E9TID,sample8823,Thyroid
GTEX-1RAZS-2526-SM-E6CHT,sample8824,Skin
GTEX-1RAZS-2626-SM-EV79C,sample8825,Esophagus
GTEX-1RB15-0005-SM-CL53N,sample8826,Blood
GTEX-1RB15-0326-SM-E6CQB,sample8827,Heart
GTEX-1RB15-0426-SM-E9U4Y,sample8828,Heart
GTEX-1RB15-0826-SM-E9U4Z,sample8829,Esophagus
GTEX-1RB15-1126-SM-E8VMX,sample8830,Adipose Tissue
GTEX-1RB15-1326-SM-E76Q9,sample8831,Skin
GTEX-1RB15-2126-SM-E9TIM,sample8832,Skin
GTEX-1RB15-2226-SM-DTXFZ,sample8833,Muscle
GTEX-1RB15-2426-SM-E8VMY,sample8834,Blood Vessel
GTEX-1RDX4-0005-SM-DLHBS,sample8835,Blood
GTEX-1RDX4-0126-SM-E9J4P,sample8836,Skin
GTEX-1RDX4-0226-SM-DTXG1,sample8837,Adipose Tissue
GTEX-1RDX4-0526-SM-EAZ44,sample8838,Blood Vessel
GTEX-1RDX4-0926-SM-E9U6D,sample8839,Thyroid
GTEX-1RDX4-1126-SM-E9U6E,sample8840,Blood Vessel
GTEX-1RDX4-1826-SM-EVR54,sample8841,Colon
GTEX-1RDX4-1926-SM-E6CJJ,sample8842,Colon
GTEX-1RDX4-2126-SM-EV7B3,sample8843,Esophagus
GTEX-1RDX4-3226-SM-DPS14,sample8844,Brain
GTEX-1RLM8-0005-SM-DO121,sample8845,Blood
GTEX-1RLM8-0011-R2a-SM-EZ6N4,sample8846,Brain
GTEX-1RLM8-0011-R6a-SM-EYYXS,sample8847,Brain
GTEX-1RLM8-0011-R8a-SM-EYYXR,sample8848,Brain
GTEX-1RLM8-0226-SM-E6CJY,sample8849,Heart
GTEX-1RLM8-0526-SM-E8VOK,sample8850,Blood Vessel
GTEX-1RLM8-0726-SM-E6CRH,sample8851,Esophagus
GTEX-1RLM8-0926-SM-EWROD,sample8852,Esophagus
GTEX-1RLM8-1026-SM-EWROE,sample8853,Adipose Tissue
GTEX-1RLM8-1726-SM-E9TKF,sample8854,Colon
GTEX-1RLM8-2326-SM-EWRN4,sample8855,Skin
GTEX-1RLM8-2926-SM-E8VON,sample8856,Skin
GTEX-1RMOY-0005-SM-DO11X,sample8857,Blood
GTEX-1RMOY-0126-SM-EWRNN,sample8858,Thyroid
GTEX-1RMOY-0626-SM-E9TIE,sample8859,Heart
GTEX-1RMOY-0826-SM-E9TIF,sample8860,Adipose Tissue
GTEX-1RMOY-0926-SM-E9TIG,sample8861,Esophagus
GTEX-1RMOY-1326-SM-E9TIH,sample8862,Skin
GTEX-1RMOY-1626-SM-EVYC8,sample8863,Colon
GTEX-1RMOY-1726-SM-EVYC9,sample8864,Colon
GTEX-1RMOY-1926-SM-EVYCA,sample8865,Blood Vessel
GTEX-1RNSC-0011-R5a-SM-EZ6N5,sample8866,Brain
GTEX-1RNSC-1126-SM-E9TIP,sample8867,Thyroid
GTEX-1RNSC-3126-SM-EVR4V,sample8868,Brain
GTEX-1RNTQ-0006-SM-CYPRG,sample8869,Blood
GTEX-1RNTQ-0726-SM-E9U6F,sample8870,Blood Vessel
GTEX-1RNTQ-0826-SM-E9TK8,sample8871,Adipose Tissue
GTEX-1RNTQ-1126-SM-E9TK9,sample8872,Esophagus
GTEX-1RQEC-0006-SM-CL542,sample8873,Blood
GTEX-1RQEC-0011-R9a-SM-EZ6N3,sample8874,Brain
GTEX-1RQEC-0126-SM-E9J2H,sample8875,Muscle
GTEX-1RQEC-0226-SM-E9J3V,sample8876,Blood Vessel
GTEX-1RQEC-0426-SM-E6CHU,sample8877,Skin
GTEX-1RQEC-0526-SM-E6CHV,sample8878,Adipose Tissue
GTEX-1RQEC-0926-SM-EWROG,sample8879,Heart
GTEX-1RQEC-1026-SM-EVR5B,sample8880,Thyroid
GTEX-1RQEC-2526-SM-EVYD2,sample8881,Adipose Tissue
GTEX-1RQEC-2626-SM-EVR3Z,sample8882,Colon
GTEX-1RQEC-2926-SM-EVR5A,sample8883,Brain
GTEX-1RQEC-3026-SM-DPRXM,sample8884,Brain
GTEX-1RQED-0005-SM-DO11Z,sample8885,Blood
GTEX-1RQED-0426-SM-E6CJP,sample8886,Muscle
GTEX-1RQED-0926-SM-EWRNZ,sample8887,Thyroid
GTEX-1RQED-1126-SM-EVYCU,sample8888,Blood Vessel
GTEX-1S3DN-0006-SM-DO127,sample8889,Blood
GTEX-1S3DN-0626-SM-E9U51,sample8890,Blood Vessel
GTEX-1S3DN-0726-SM-E9TIO,sample8891,Heart
GTEX-1S3DN-1426-SM-EWRNO,sample8892,Esophagus
GTEX-1S3DN-1626-SM-EVYCC,sample8893,Adipose Tissue
GTEX-1S3DN-1826-SM-EV79K,sample8894,Colon
GTEX-1S3DN-2126-SM-E9TIN,sample8895,Skin
GTEX-1S3DN-2226-SM-EVYCD,sample8896,Skin
GTEX-1S3DN-2626-SM-EVYCE,sample8897,Blood Vessel
GTEX-1S5VW-0005-SM-CYPS4,sample8898,Blood
GTEX-1S5VW-0426-SM-E9U6G,sample8899,Blood Vessel
GTEX-1S5VW-0526-SM-E6CHL,sample8900,Muscle
GTEX-1S5VW-2426-SM-EAZ52,sample8901,Adipose Tissue
GTEX-1S5VW-2926-SM-E9U6H,sample8902,Colon
GTEX-1S5ZA-0005-SM-CYPS2,sample8903,Blood
GTEX-1S5ZA-0126-SM-EVYCV,sample8904,Skin
GTEX-1S5ZA-0426-SM-E6CJR,sample8905,Blood Vessel
GTEX-1S5ZA-0526-SM-EWRO1,sample8906,Muscle
GTEX-1S5ZA-0926-SM-EVR55,sample8907,Esophagus
GTEX-1S5ZA-1026-SM-EWRO2,sample8908,Adipose Tissue
GTEX-1S5ZA-1126-SM-EVYBU,sample8909,Blood Vessel
GTEX-1S5ZA-1426-SM-E6CJQ,sample8910,Colon
GTEX-1S5ZU-0005-SM-CYPS3,sample8911,Blood
GTEX-1S5ZU-0226-SM-E6CHW,sample8912,Adipose Tissue
GTEX-1S5ZU-0526-SM-E9U4S,sample8913,Blood Vessel
GTEX-1S5ZU-0726-SM-EWROH,sample8914,Thyroid
GTEX-1S5ZU-2526-SM-E6CIF,sample8915,Skin
GTEX-1S82P-0005-SM-CM2RX,sample8916,Blood
GTEX-1S82P-0226-SM-E6CI6,sample8917,Adipose Tissue
GTEX-1S82P-0326-SM-E9TIR,sample8918,Muscle
GTEX-1S82P-0526-SM-EVR4N,sample8919,Blood Vessel
GTEX-1S82P-0926-SM-EWRNP,sample8920,Adipose Tissue
GTEX-1S82P-1626-SM-EVR4Q,sample8921,Esophagus
GTEX-1S82P-2026-SM-E9TIQ,sample8922,Colon
GTEX-1S82P-2126-SM-E6CI5,sample8923,Skin
GTEX-1S82U-0005-SM-CYPRW,sample8924,Blood
GTEX-1S82U-0726-SM-E9TKI,sample8925,Colon
GTEX-1S82U-1026-SM-E6CJK,sample8926,Skin
GTEX-1S82U-1426-SM-E6CJL,sample8927,Muscle
GTEX-1S82Y-0005-SM-DO123,sample8928,Blood
GTEX-1S82Y-1226-SM-EV7BD,sample8929,Esophagus
GTEX-1S82Y-2026-SM-EVYCM,sample8930,Skin
GTEX-1S82Y-2226-SM-EWRNV,sample8931,Muscle
GTEX-1S82Y-2426-SM-E9U6N,sample8932,Blood Vessel
GTEX-1S82Z-0006-SM-DLHC5,sample8933,Blood
GTEX-1S82Z-0626-SM-E9TIJ,sample8934,Esophagus
GTEX-1S82Z-0826-SM-E6CHY,sample8935,Skin
GTEX-1S831-0006-SM-DLHC1,sample8936,Blood
GTEX-1S831-0326-SM-EVYD3,sample8937,Adipose Tissue
GTEX-1S831-0526-SM-EYYWO,sample8938,Blood Vessel
GTEX-1S831-0826-SM-E9TIS,sample8939,Esophagus
GTEX-1S831-1026-SM-EVR5C,sample8940,Esophagus
GTEX-1S831-1726-SM-EWROJ,sample8941,Colon
GTEX-1S831-1826-SM-EWROF,sample8942,Skin
GTEX-1S831-1926-SM-EV79P,sample8943,Adipose Tissue
GTEX-1S83E-0006-SM-DLHBW,sample8944,Blood
GTEX-1S83E-0126-SM-EWRO4,sample8945,Skin
GTEX-1S83E-0226-SM-EVYCW,sample8946,Adipose Tissue
GTEX-1S83E-0726-SM-EV7B6,sample8947,Thyroid
GTEX-1S83E-0826-SM-EV7B7,sample8948,Esophagus
GTEX-1S83E-1026-SM-EWRO5,sample8949,Esophagus
GTEX-1S83E-1326-SM-E6CJM,sample8950,Skin
GTEX-1S83E-1626-SM-EV7B9,sample8951,Colon
GTEX-1S83E-2126-SM-EWRO6,sample8952,Muscle
GTEX-N7MS-0007-SM-2D7W1,sample8953,Blood
GTEX-N7MS-0008-SM-4E3JI,sample8954,Skin
GTEX-N7MS-0011-R10A-SM-2HMJK,sample8955,Brain
GTEX-N7MS-0011-R11A-SM-2HMJS,sample8956,Brain
GTEX-N7MS-0011-R1a-SM-2HMJG,sample8957,Brain
GTEX-N7MS-0011-R2a-SM-2HML6,sample8958,Brain
GTEX-N7MS-0011-R3a-SM-33HC6,sample8959,Brain
GTEX-N7MS-0011-R4a-SM-2HMKW,sample8960,Brain
GTEX-N7MS-0011-R5a-SM-2HMK8,sample8961,Brain
GTEX-N7MS-0011-R6a-SM-2HMJ4,sample8962,Brain
GTEX-N7MS-0011-R7a-SM-2HMKN,sample8963,Brain
GTEX-N7MS-0011-R8a-SM-2YUMK,sample8964,Brain
GTEX-N7MS-0326-SM-4E3K2,sample8965,Adipose Tissue
GTEX-N7MS-0426-SM-2YUN6,sample8966,Muscle
GTEX-N7MS-0626-SM-2YUN7,sample8967,Blood Vessel
GTEX-N7MS-0826-SM-2HML4,sample8968,Heart
GTEX-N7MS-1126-SM-3LK5E,sample8969,Esophagus
GTEX-N7MS-1225-SM-3LK5G,sample8970,Esophagus
GTEX-N7MS-2326-SM-2HMLD,sample8971,Thyroid
GTEX-N7MS-2526-SM-2D7W3,sample8972,Brain
GTEX-N7MT-0007-SM-3GACQ,sample8973,Blood
GTEX-N7MT-0011-R10A-SM-2I3E1,sample8974,Brain
GTEX-N7MT-0011-R11A-SM-2I3DZ,sample8975,Brain
GTEX-N7MT-0011-R1a-SM-CNPO1,sample8976,Brain
GTEX-N7MT-0011-R2a-SM-2I3GI,sample8977,Brain
GTEX-N7MT-0011-R3a-SM-2I3GC,sample8978,Brain
GTEX-N7MT-0011-R4a-SM-2I3G9,sample8979,Brain
GTEX-N7MT-0011-R5a-SM-2I3G6,sample8980,Brain
GTEX-N7MT-0011-R6a-SM-2I3G3,sample8981,Brain
GTEX-N7MT-0011-R7a-SM-2I3FZ,sample8982,Brain
GTEX-N7MT-0011-R8a-SM-2I5GU,sample8983,Brain
GTEX-N7MT-0226-SM-48TC3,sample8984,Esophagus
GTEX-N7MT-0326-SM-48TDP,sample8985,Esophagus
GTEX-N7MT-1126-SM-CYPQY,sample8986,Brain
GTEX-N7MT-1226-SM-DKPOK,sample8987,Brain
GTEX-N7MT-1326-SM-2I3FV,sample8988,Heart
GTEX-N7MT-1426-SM-3LK5M,sample8989,Blood Vessel
GTEX-NFK9-0006-SM-3GACS,sample8990,Blood
GTEX-NFK9-0008-SM-4E3JE,sample8991,Skin
GTEX-NFK9-0226-SM-2HMKQ,sample8992,Skin
GTEX-NFK9-0326-SM-3MJGV,sample8993,Adipose Tissue
GTEX-NFK9-0526-SM-2YUNL,sample8994,Blood Vessel
GTEX-NFK9-0626-SM-2HMIV,sample8995,Muscle
GTEX-NFK9-0726-SM-2HMJW,sample8996,Thyroid
GTEX-NFK9-0926-SM-2HMJU,sample8997,Heart
GTEX-NFK9-1126-SM-3LK78,sample8998,Esophagus
GTEX-NFK9-1226-SM-3LK79,sample8999,Esophagus
GTEX-NFK9-1326-SM-3LK5I,sample9000,Blood Vessel
GTEX-NFK9-2026-SM-3LK5K,sample9001,Colon
GTEX-NL3H-0008-SM-4E3HU,sample9002,Skin
GTEX-NL3H-0011-R10A-SM-2I3E9,sample9003,Brain
GTEX-NL3H-0011-R11A-SM-2I3E6,sample9004,Brain
GTEX-NL3H-0011-R1a-SM-48TDJ,sample9005,Brain
GTEX-NL3H-0011-R3a-SM-2I3GL,sample9006,Brain
GTEX-NL3H-0011-R4a-SM-2I3GK,sample9007,Brain
GTEX-NL3H-0011-R5a-SM-2I3GB,sample9008,Brain
GTEX-NL3H-0011-R6a-SM-2I3G8,sample9009,Brain
GTEX-NL3H-0011-R7a-SM-2I3G5,sample9010,Brain
GTEX-NL3H-0011-R8a-SM-DIPDY,sample9011,Brain
GTEX-NL4W-0008-SM-4E3I2,sample9012,Skin
GTEX-NL4W-0011-R10A-SM-2I3DY,sample9013,Brain
GTEX-NL4W-0011-R11A-SM-2I3DW,sample9014,Brain
GTEX-NL4W-0011-R2a-SM-2I5GV,sample9015,Brain
GTEX-NL4W-0011-R4a-SM-2I5GZ,sample9016,Brain
GTEX-NL4W-0011-R5a-SM-2I3GD,sample9017,Brain
GTEX-NL4W-0011-R6a-SM-2I3GA,sample9018,Brain
GTEX-NL4W-0011-R8a-SM-2I3G4,sample9019,Brain
GTEX-NL4W-0011-R9a-SM-2I3G1,sample9020,Brain
GTEX-NPJ7-0006-SM-3GACR,sample9021,Blood
GTEX-NPJ7-0008-SM-4E3JS,sample9022,Skin
GTEX-NPJ7-0011-R10A-SM-2I3E5,sample9023,Brain
GTEX-NPJ7-0011-R11A-SM-2I3E8,sample9024,Brain
GTEX-NPJ7-0011-R1a-SM-3GACT,sample9025,Brain
GTEX-NPJ7-0011-R2a-SM-2I3GF,sample9026,Brain
GTEX-NPJ7-0011-R4a-SM-2I3GJ,sample9027,Brain
GTEX-NPJ7-0011-R5a-SM-33HBK,sample9028,Brain
GTEX-NPJ7-0011-R6a-SM-2I3G7,sample9029,Brain
GTEX-NPJ7-0011-R7a-SM-EV79B,sample9030,Brain
GTEX-NPJ7-0011-R8a-SM-2I3G2,sample9031,Brain
GTEX-NPJ7-0011-R9a-SM-2TC5R,sample9032,Brain
GTEX-NPJ7-1326-SM-3MJHO,sample9033,Blood Vessel
GTEX-NPJ7-2726-SM-2I3FT,sample9034,Brain
GTEX-NPJ7-2826-SM-2I3FU,sample9035,Brain
GTEX-NPJ8-0007-SM-2D7VX,sample9036,Blood
GTEX-NPJ8-0011-R10A-SM-2YUMO,sample9037,Brain
GTEX-NPJ8-0011-R11A-SM-2YUMS,sample9038,Brain
GTEX-NPJ8-0011-R1a-SM-33HCB,sample9039,Brain
GTEX-NPJ8-0011-R2a-SM-2TC6M,sample9040,Brain
GTEX-NPJ8-0011-R3a-SM-2HMIW,sample9041,Brain
GTEX-NPJ8-0011-R4a-SM-2HML3,sample9042,Brain
GTEX-NPJ8-0011-R5a-SM-2HMJY,sample9043,Brain
GTEX-NPJ8-0011-R6a-SM-2HMKB,sample9044,Brain
GTEX-NPJ8-0011-R7a-SM-2HMJV,sample9045,Brain
GTEX-NPJ8-0011-R8a-SM-2HMLG,sample9046,Brain
GTEX-NPJ8-0011-R9a-SM-2YUN5,sample9047,Brain
GTEX-NPJ8-0126-SM-2YUNR,sample9048,Skin
GTEX-NPJ8-0226-SM-48TBN,sample9049,Adipose Tissue
GTEX-NPJ8-0426-SM-2HMK6,sample9050,Heart
GTEX-NPJ8-0526-SM-3MJHN,sample9051,Blood Vessel
GTEX-NPJ8-1326-SM-3LK6B,sample9052,Blood Vessel
GTEX-NPJ8-1526-SM-2D7VU,sample9053,Brain
GTEX-NPJ8-1826-SM-2YUNC,sample9054,Blood Vessel
GTEX-NPJ8-1926-SM-3MJGB,sample9055,Esophagus
GTEX-NPJ8-2026-SM-3TW91,sample9056,Esophagus
GTEX-NPJ8-2626-SM-2D7W2,sample9057,Brain
GTEX-O5YT-0007-SM-32PK7,sample9058,Blood
GTEX-O5YT-0008-SM-4E3IQ,sample9059,Skin
GTEX-O5YT-0126-SM-48TBW,sample9060,Skin
GTEX-O5YT-0226-SM-32PK5,sample9061,Adipose Tissue
GTEX-O5YT-0326-SM-32PKA,sample9062,Heart
GTEX-O5YT-0426-SM-3MJHD,sample9063,Blood Vessel
GTEX-O5YT-0726-SM-3MJHA,sample9064,Esophagus
GTEX-O5YT-1426-SM-3MJHC,sample9065,Colon
GTEX-O5YT-1626-SM-32PK6,sample9066,Muscle
GTEX-O5YT-1826-SM-32PK9,sample9067,Blood Vessel
GTEX-O5YU-0008-SM-4E3I7,sample9068,Skin
GTEX-O5YU-0726-SM-EV792,sample9069,Blood Vessel
GTEX-O5YV-0008-SM-4E3HP,sample9070,Skin
GTEX-O5YV-0226-SM-48TBY,sample9071,Adipose Tissue
GTEX-O5YV-0326-SM-2I5H2,sample9072,Heart
GTEX-O5YV-0426-SM-3LK66,sample9073,Blood Vessel
GTEX-O5YV-0626-SM-3LK64,sample9074,Blood Vessel
GTEX-O5YV-1026-SM-3LK72,sample9075,Esophagus
GTEX-O5YV-1526-SM-EV799,sample9076,Thyroid
GTEX-O5YV-1626-SM-2YUNJ,sample9077,Blood Vessel
GTEX-O5YV-2026-SM-2D7VS,sample9078,Muscle
GTEX-O5YW-0006-SM-3LK6E,sample9079,Blood
GTEX-O5YW-0008-SM-4E3IE,sample9080,Skin
GTEX-O5YW-0126-SM-3LK6D,sample9081,Skin
GTEX-O5YW-0326-SM-2I5EI,sample9082,Heart
GTEX-O5YW-0426-SM-3MJHJ,sample9083,Blood Vessel
GTEX-O5YW-1426-SM-3MJHF,sample9084,Colon
GTEX-O5YW-1826-SM-2YUN2,sample9085,Blood Vessel
GTEX-O5YW-3026-SM-3MJHI,sample9086,Blood Vessel
GTEX-OHPK-0006-SM-2HMKH,sample9087,Blood
GTEX-OHPK-0008-SM-4E3JL,sample9088,Skin
GTEX-OHPK-0226-SM-3MJH6,sample9089,Adipose Tissue
GTEX-OHPK-0326-SM-2HMJO,sample9090,Heart
GTEX-OHPK-0426-SM-3MJH3,sample9091,Blood Vessel
GTEX-OHPK-1626-SM-2YUN3,sample9092,Muscle
GTEX-OHPK-1826-SM-2YUMR,sample9093,Blood Vessel
GTEX-OHPK-2626-SM-2HMK9,sample9094,Thyroid
GTEX-OHPL-0006-SM-3MJHB,sample9095,Blood
GTEX-OHPL-0008-SM-4E3I9,sample9096,Skin
GTEX-OHPL-0126-SM-2HMJ7,sample9097,Skin
GTEX-OHPL-0326-SM-33HC8,sample9098,Heart
GTEX-OHPL-0426-SM-3TW8X,sample9099,Blood Vessel
GTEX-OHPL-1626-SM-2HMIR,sample9100,Muscle
GTEX-OHPL-1826-SM-2YUN8,sample9101,Blood Vessel
GTEX-OHPL-2626-SM-2HMJA,sample9102,Thyroid
GTEX-OHPL-3026-SM-3MJGS,sample9103,Blood Vessel
GTEX-OHPM-0006-SM-2HMKU,sample9104,Blood
GTEX-OHPM-0008-SM-4E3IP,sample9105,Skin
GTEX-OHPM-0126-SM-2YUN9,sample9106,Skin
GTEX-OHPM-0226-SM-3LK61,sample9107,Adipose Tissue
GTEX-OHPM-0326-SM-33HCA,sample9108,Heart
